B1__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0
-0.039171	17.992	0.908074	-0.232	-0.030102	17.024	0.914881	-20.747	-0.027432	17.633	0.919841	-7.689	-0.041388	16.298	0.910404	-2.4099999999999997	-0.036075	15.312	0.909496	-1.3179999999999998	-0.041255	15.424999999999999	0.912133	-0.044	-0.039566	16.721	0.908723	-0.9959999999999999	-0.022722	16.393	0.952127	-38.198
-0.087324	18.076999999999998	0.954508	-2.581	-0.076878	17.458000000000002	0.964055	-22.189	-0.073511	18.537000000000003	0.952996	-10.004000000000001	-0.08315	16.473000000000003	0.956791	-4.6129999999999995	-0.081537	15.37	0.952629	-3.736	-0.084932	15.442	0.955258	-2.512	-0.081153	16.853	0.950697	-3.694	-0.071152	17.381	0.96379	-39.994
-0.125668	18.145999999999997	0.992727	-5.523	-0.126703	18.020999999999997	0.9967	-24.913	-0.113467	20.023	1.016816	-11.179	-0.128745	16.621	0.997768	-6.91	-0.132021	15.405000000000001	0.992127	-6.463	-0.132879	15.481	0.993205	-4.995	-0.132353	16.996000000000002	0.990384	-6.548	-0.116945	18.287000000000003	0.979642	-43.573
-0.176781	18.267	1.02983	-8.929	-0.167061	18.615	1.051449	-26.698	-0.150086	22.1	1.051731	-13.03	-0.169621	16.811	1.037416	-9.669	-0.168652	15.424	1.03137	-9.577	-0.175991	15.532	1.033693	-8.033999999999999	-0.175167	17.079	1.031598	-10.067	-0.164948	19.219	1.017145	-47.818
-0.218615	18.363	1.06785	-12.654	-0.213964	19.143	1.084795	-29.34	-0.188015	24.448	1.086372	-15.948	-0.219897	16.979999999999997	1.076253	-12.9	-0.213611	16.083	1.071536	-13.254999999999999	-0.220074	15.58	1.073838	-11.572000000000001	-0.218569	17.055	1.069631	-13.812	-0.211605	20.221	1.088585	-57.443
-0.258895	18.927	1.106185	-17.356	-0.264961	19.381	1.120584	-32.742	-0.228648	27.371	1.111162	-19.974	-0.265602	17.115	1.113408	-16.788999999999998	-0.26448	16.354	1.112155	-17.611	-0.264379	15.607	1.112332	-15.611	-0.265653	17.105999999999998	1.108431	-18.198	-0.253536	21.238	1.159209	-66.01700000000001
-0.303366	19.171	1.178371	-27.041	-0.292011	20.679	1.153092	-37.114000000000004	-0.280123	29.858	1.190984	-28.889000000000003	-0.306662	17.233999999999998	1.14995	-21.433	-0.310465	16.613	1.189067	-26.82	-0.31328	15.675	1.188715	-24.843	-0.307603	17.2	1.181434	-28.083000000000002	-0.297059	22.468	1.194749	-73.488
-0.356122	19.529999999999998	1.23205	-36.495	-0.358165	20.477999999999998	1.225745	-46.868	-0.368823	29.01	1.24392	-36.831	-0.34089	18.288	1.223751	-31.745	-0.351302	16.862	1.23656	-35.736	-0.357005	15.729	1.238477	-33.282	-0.354362	17.319000000000003	1.232703	-37.289	-0.343376	23.494	1.253858	-81.293
-0.396132	19.813000000000002	1.273498	-46.861	-0.401562	20.529	1.291869	-55.422	-0.39781	29.413	1.285732	-45.623999999999995	-0.397859	18.688	1.27423	-41.652	-0.402837	17.085	1.271517	-45.504999999999995	-0.400657	15.806000000000001	1.277869	-42.739	-0.397006	17.76	1.267926	-47.463	-0.387329	24.584000000000003	1.289021	-88.04299999999999
-0.441353	20.087	1.303034	-57.727000000000004	-0.444286	20.629	1.336111	-63.055	-0.436683	30.142	1.314623	-55.479	-0.43824	19.258999999999997	1.316225	-51.409000000000006	-0.440931	17.2	1.301418	-56.497	-0.449581	15.858	1.312554	-53.167	-0.444268	17.849	1.297393	-58.777	-0.421349	26.269000000000002	1.339168	-97.14399999999999
-0.486213	20.813000000000002	1.331	-69.591	-0.480211	21.502	1.364968	-72.31700000000001	-0.479998	30.927	1.344435	-66.69600000000001	-0.481126	19.619	1.351061	-62.468999999999994	-0.492016	17.373	1.328355	-68.283	-0.488343	15.935999999999998	1.344713	-64.364	-0.460263	20.256	1.327452	-71.284	-0.472654	27.787	1.377323	-106.317
-0.523889	21.633	1.361783	-83.153	-0.530917	22.009999999999998	1.403729	-82.80999999999999	-0.522449	31.747999999999998	1.371337	-79.371	-0.530297	20.246	1.383177	-74.029	-0.53354	17.500999999999998	1.356942	-81.471	-0.535684	16.007	1.376637	-76.418	-0.533431	20.546	1.356968	-85.095	-0.504779	29.973	1.413546	-115.748
