A99__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A99__cTiO2_ptaa__p8__1.0Sun__Fw__scan0	A99__cTiO2_ptaa__p8__1.0Sun__Fw__scan0
-0.043785	15.689000000000002	0.91659	3.307	-0.038406	14.023000000000001	0.921991	2.341	-0.039371	16.376	0.915487	3.7880000000000003	-0.040175	14.798	0.918662	3.1350000000000002	-0.037621	16.820999999999998	0.917512	3.908	-0.042336	15.374	0.919822	3.378	-0.038821	15.889000000000001	0.915934	3.872	-0.038537	14.27	0.9177	2.983
-0.082708	15.682000000000002	0.956397	1.132	-0.085843	14.104000000000001	0.961753	0.579	-0.0861	16.458000000000002	0.954684	1.621	-0.081629	14.885	0.958498	1.1509999999999998	-0.085148	16.846	0.95729	1.843	-0.084818	15.408	0.960908	1.3619999999999999	-0.084488	15.93	0.955324	1.8339999999999999	-0.085536	14.366	0.959725	0.895
-0.130371	15.744000000000002	0.995055	-1.5399999999999998	-0.129067	14.175	1.001365	-1.581	-0.128742	16.483	0.994741	-1.221	-0.127709	14.987	0.997265	-1.245	-0.132442	16.894	0.996239	-0.652	-0.127112	15.494000000000002	0.998344	-0.879	-0.126032	15.973	0.995971	-0.816	-0.132899	14.452	0.999803	-1.6689999999999998
-0.173212	15.803999999999998	1.033766	-4.930000000000001	-0.171428	14.267999999999999	1.035729	-4.4799999999999995	-0.175362	16.586	1.032876	-4.554	-0.174735	15.077	1.033769	-4.113	-0.175079	16.938000000000002	1.033499	-3.643	-0.174511	15.549999999999999	1.036511	-3.836	-0.176513	16.044	1.032599	-3.763	-0.170572	14.535	1.036106	-4.553
-0.220954	15.876000000000001	1.07043	-8.814	-0.22388	14.38	1.076177	-8.044	-0.218522	16.622999999999998	1.069273	-8.434000000000001	-0.218071	15.176	1.070903	-7.678	-0.218935	16.973	1.071206	-7.385	-0.221826	15.592	1.072809	-7.226	-0.218309	16.097	1.070687	-7.547	-0.223077	14.637	1.075034	-8.3
-0.263226	15.935999999999998	1.105262	-13.226999999999999	-0.265962	14.452	1.111002	-11.932	-0.266112	16.719	1.105745	-13.09	-0.266413	15.279	1.109271	-12.042	-0.267221	17.022	1.106936	-11.718	-0.263988	15.675	1.109652	-11.354	-0.261531	16.151	1.108875	-12.118	-0.265267	14.729000000000001	1.109676	-12.269
-0.30952	16.067	1.182472	-23.269000000000002	-0.309036	14.55	1.145273	-16.999	-0.309639	16.767	1.178834	-23.18	-0.31461	15.389	1.191128	-22.054000000000002	-0.310633	17.079	1.182822	-21.962	-0.311426	15.716000000000001	1.186929	-20.958000000000002	-0.314871	16.222	1.181795	-21.779	-0.307278	14.822999999999999	1.187818	-21.727
-0.35727	16.124	1.240238	-32.189	-0.351462	14.644	1.224153	-27.038	-0.356976	16.858	1.234398	-32.641999999999996	-0.352807	15.501	1.245325	-30.308	-0.354074	17.13	1.233335	-30.93	-0.353233	15.859000000000002	1.24271	-29.479000000000003	-0.35384	16.277	1.23602	-30.781	-0.353884	14.92	1.246397	-30.075999999999997
-0.398813	16.211	1.284659	-41.029	-0.403114	14.768999999999998	1.27915	-35.964999999999996	-0.399857	16.944	1.275808	-42.084	-0.400751	15.599	1.2896	-38.735	-0.402059	17.177	1.275546	-40.565	-0.400285	15.938	1.285874	-38.176	-0.401533	16.355	1.278735	-39.988	-0.400681	15.044	1.292336	-38.345
-0.446088	16.299999999999997	1.322377	-50.789	-0.445567	14.879	1.327676	-45.382	-0.442507	17.034	1.311477	-52.393	-0.448966	15.712	1.32841	-47.853	-0.44537	17.253999999999998	1.312588	-51.257	-0.44135	16.044	1.325716	-47.308	-0.444771	16.435000000000002	1.317291	-50.275	-0.442663	15.118	1.331556	-47.190999999999995
-0.48798	16.407999999999998	1.354962	-61.306	-0.488662	14.966999999999999	1.367295	-55.126000000000005	-0.490119	17.128	1.344185	-63.875	-0.486698	15.793000000000001	1.364513	-57.974	-0.494107	17.308	1.343133	-62.653	-0.493474	16.11	1.363808	-57.43	-0.493061	16.516	1.348732	-61.057	-0.489628	15.231	1.366428	-56.763
-0.535339	16.489	1.383465	-72.714	-0.535002	15.102	1.399034	-65.623	-0.536159	17.225	1.373305	-76.03500000000001	-0.536653	15.918999999999999	1.396191	-68.532	-0.532476	17.354000000000003	1.372067	-75.00800000000001	-0.53502	16.209999999999997	1.396164	-67.968	-0.535857	16.578	1.377669	-72.46600000000001	-0.536504	15.346	1.399814	-67.121
